previous utterance by the teller	drawer's utterance	next utterance by the teller	is CR?	impossible to know?
on center an apple tree , most of it above grass on right of tree balloons in the sky .	is tree small and balloons small	tree small , balloons big . big table front tree . between bear and tree , a surprised mike , hand front and faces right .	1	
sitting on the ground next to a swing set .	does he look sad ? are his legs crossed ?	yes . he is in front of a fluffy tree also .	1	
the kids are the size where they are almost as tall as the grass is . the fire part is a little less wide than their heads .	how far from the bottom edge are their feet ?	i 'm ready to check if you are . their feet are pretty close to the edge .	1	
on the left is a medium boy , kicking , facing right , with sad face . 2 . 5 inches from the side and his elbows are on the horizon line .	what is he kicking	behind the boy is a medium bee toy facing right . above the girl is a large cloud . 1 4 inches from the side and top .	1	
apple tree on the right side , middle of image , slightly cut on the right side	what size are these things ?	underneath the tree a yellow picnic table , last right leg is not showing cut on right side of image . all medium i think	1	
to the right of the cat is a pizza , and that 's all the objects	a pizza on the ground ?	cat is facing the pizza , yes pizza on ground	1	
can i check	check size please	i never said small kids , ok so bigger box and kids , box is behind kids so bring kids down and box up	0	
three full apples , a small slice of two others	is trunk cut off ?	on , the trunk is in the grass , the whole thing	1	
in front of the tree a boy standing his arms stretched in front of him	happy face or mad	happy face	1	
then smallest dude far left with pirate hat , then girl near tree both sitting and legs out , football small left of sandbox and baseball	the boy standing ? how are arms ?	all sitting legs out	1	
the girl is on the right side . the girls leg is faced toward the fire almost sticking into it	is the boy 's hands in the air , to the left or ?	they are out in front of him , facing the girl and the fire	1	
pine tree middle of scene .	done next please and faster	a small boy on left corner , surprised and hands up faces right .	0	
starting on left , large dog in front of swing set , pine center of pic , both kids jump , boy shock , girl happy , beach ball lower right corner	what size are the swing set and tree ?	tree small , swing set med	1	
---	what size boy	---	1	
sorry he is standing with hands out	what hands out , either up , or kicking	both of his hands are in the front he look surprise	1	
cat make it bigger and the other side of the shoe and boy facing left and girl facing right and balloon on her left hand	okay , got it . ready to submit !		0	
girl facing right and dude left , can i check	check tell me sizes please	lower just little the kids , we good	0	
	made the boy larger and moved the ball .		0	
this is an outdoor scene . it 's sunny and two children are playing frisbee . there is a dog chilling out .	sun , right , left or center ?	sun is in upper right .	1	
no above it	okay , fixed .	perfect we are done . thanks !	0	
flip the shovel and place the end of the handle in his hand	almost there	and scott the girl and kite to the left , so she 's standing directly in front of him	0	
no cat as well . there is a boy tent plane cloud girl and apple tree that 's it	all done thanks !		0	
checking	next time you all these are on plane	girl facing left and sun bigger and out of frame more than good	0	
boy is near tree he is small on the right	i have 5 boys . some are happy . some are sad . some are sitting . some are standing .	sitting crossing legs , angry	0	
she is wearing a crown tilted left . holding a hotdog in her right hand .	ok how far from the fire is she ?	to her right a large cat . cat is almost touching her leg . she is about an inch from the fire .	1	
sun on the top left	what size is the sun and is anything cut off ?	medium sun nothing cut off . small copter in the middle	1	
yes , then pine tree small far right	full or cut pine tree ?	pine	1	
flip the tree so the hole is on the left . the owl is closer to the upper left corner of sandbox . the boy is in grass to the left of sandbox .	is the owl facing the boy	the owl is facing the boy and girl . they might be a size smaller than you had it .	1	
big leafy tree is on the left corner 3 4 are cut from top and left .	e facing ?	hole of tree faces right .	1	
grill not girl . flip table . move girl left from the trees trunk . so move girl a bit to the left . movie boy a bit to the right .	sorry , got it , done	make mustard and ketchup smaller and we done thanks . and closer	0	
the girl is standing right hand below waist and left hand above her head	ok is it a pine tree ?	i do n't know the type of tree . it 's a round tree	1	
1 inch left of bear is shocked boy hand on hip 1 inch from bottom faces left	ok is he large	he is medium she is large though . i 'll peek	1	
done	sides of sun cut off ?		1	
on the left , facing right , is a smiling girl , legs straight out , arms out ,	is she like at the top of the green or bottom	she is in middle of green	1	
she is facing right sun inch in top two spires cut off , large	sun on the left or right ?	sun is more to left than center but right side pointy things are just about center . half in from right top side large balloon , top cut off	1	
